trait,q
Honesty-Humility,אני חושב שהייתי נהנה להחזיק בכוח והשפעה על אנשים אחרים.
Honesty-Humility,לעולם לא אקבל שוחד גם אם הסכום יהיה גדול מאוד.
Honesty-Humility,אני חושב שאני ראוי ליחס מיוחד יותר מהאדם הממוצע.
Honesty-Humility,אם הייתי יודע שלא אתפס הייתי מוכן לגנוב סכום כסף גדול.
Honesty-Humility,אני לא מרגיש צורך להשוויץ בהישגים שלי בפני אחרים.
Honesty-Humility,חשוב לי להיות עשיר ולהחזיק במוצרי יוקרה.
Emotionality,אני נוטה לדאוג הרבה יותר מהאדם הממוצע.
Emotionality,אני מרגיש פחד כשאני נאלץ לנסוע בתנאי מזג אוויר קשים.
Emotionality,כשאני עובר חוויה כואבת אני זקוק למישהו שינחם אותי.
Emotionality,אני נלחץ בקלות במצבי חירום רפואיים.
Emotionality,אני נוטה לבכות בקלות כשאני רואה סרט עצוב.
Emotionality,אני אדם רגיש מאוד לביקורת של אחרים.
Extraversion,במסיבות ואירועים חברתיים אני בדרך כלל זה שמתחיל לדבר.
Extraversion,אני מרגיש בנוח להוביל קבוצה של אנשים.
Extraversion,אני ממעט להביע את דעותיי במהלך פגישות או דיונים.
Extraversion,אני מרגיש מלא אנרגיה כשאני נמצא עם הרבה אנשים.
Extraversion,אני מחשיב את עצמי כאדם פופולרי בחברה.
Extraversion,אני מעדיף לבלות את הערב לבד עם ספר מאשר במסיבה.
Agreeableness,אני נוטה לסלוח בקלות גם לאנשים שהתנהגו אליי שלא בצדק.
Agreeableness,אנשים אומרים עליי לפעמים שאני ביקורתי מדי.
Agreeableness,אני כמעט ולא נוטר טינה גם לאנשים שפגעו בי.
Agreeableness,אני מוצא את עצמי מתווכח לעיתים קרובות עם חברים לעבודה.
Agreeableness,חשוב לי שכולם סביבי יהיו מרוצים גם במחיר של ויתור אישי.
Agreeableness,אני נוטה להתעצבן מהר כשדברים לא קורים בדרך שלי.
Conscientiousness,אני מקפיד מאוד על סדר וארגון בסביבת העבודה שלי.
Conscientiousness,אני נוטה לדחות משימות לרגע האחרון.
Conscientiousness,כשאני מציב לעצמי מטרה אני עושה הכל כדי להשיג אותה.
Conscientiousness,אני מקדיש תשומת לב רבה לפרטים הקטנים ביותר.
Conscientiousness,לעיתים קרובות אני פועל לפי דחף רגעי בלי לחשוב.
Conscientiousness,אני תמיד מגיע בזמן לפגישות שנקבעו לי.
Openness,אני מוצא עניין רב בתיאוריות פילוסופיות מורכבות.
Openness,ביקור בגלריית אמנות משעמם אותי מאוד.
Openness,אני נהנה לחקור רעיונות חדשים ובלתי שגרתיים.
Openness,יש לי דמיון עשיר מאוד.
Openness,אני מעדיף סדר יום קבוע ומוכר על פני שינויים.
Openness,אני נהנה ללמוד על תרבויות רחוקות ושונות.
